name,title,barcode,size,brand,image3,category
HEWDA2-7440,Cannes Zebra,8435476138933,40,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-zebra-sandals-alohas-736112.jpg?v=1677085846,
HEWDA2-7441,Cannes Zebra,8435476138940,41,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-zebra-sandals-alohas-736112.jpg?v=1677085846,
HEWDA5-2535,Cannes Black Canvas,8435476125957,35,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-canvas-sandals-alohas-346855.jpg?v=1677090538,shoes
HEWDA5-2536,Cannes Black Canvas,8435476125964,36,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-canvas-sandals-alohas-346855.jpg?v=1677090538,shoes
HEWDA5-2537,Cannes Black Canvas,8435476125971,37,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-canvas-sandals-alohas-346855.jpg?v=1677090538,shoes
HEWDA5-2538,Cannes Black Canvas,8435476125988,38,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-canvas-sandals-alohas-346855.jpg?v=1677090538,shoes
HEWDA5-2539,Cannes Black Canvas,8435476125995,39,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-canvas-sandals-alohas-346855.jpg?v=1677090538,shoes
HEWDA5-2540,Cannes Black Canvas,8435476126008,40,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-canvas-sandals-alohas-346855.jpg?v=1677090538,shoes
HEWDA5-2541,Cannes Black Canvas,8435476126015,41,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-black-canvas-sandals-alohas-346855.jpg?v=1677090538,shoes
HEWDA1-8435,Cannes Magenta Leather Sandals,8435702505218,35,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/E-COM-5-724_1ecc5b3c-f3fa-44b3-bc0c-ee515a0b28ac.jpg?v=1678849672,shoes
HEWDA1-8436,Cannes Magenta Leather Sandals,8435702505225,36,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/E-COM-5-724_1ecc5b3c-f3fa-44b3-bc0c-ee515a0b28ac.jpg?v=1678849672,shoes
HEWDA1-8437,Cannes Magenta Leather Sandals,8435702505232,37,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/E-COM-5-724_1ecc5b3c-f3fa-44b3-bc0c-ee515a0b28ac.jpg?v=1678849672,shoes
HEWDA1-8438,Cannes Magenta Leather Sandals,8435702505249,38,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/E-COM-5-724_1ecc5b3c-f3fa-44b3-bc0c-ee515a0b28ac.jpg?v=1678849672,shoes
HEWDA1-8439,Cannes Magenta Leather Sandals,8435702505256,39,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/E-COM-5-724_1ecc5b3c-f3fa-44b3-bc0c-ee515a0b28ac.jpg?v=1678849672,shoes
HEWDA1-8440,Cannes Magenta Leather Sandals,8435702505263,40,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/E-COM-5-724_1ecc5b3c-f3fa-44b3-bc0c-ee515a0b28ac.jpg?v=1678849672,shoes
HEWDA1-8441,Cannes Magenta Leather Sandals,8435702505270,41,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/E-COM-5-724_1ecc5b3c-f3fa-44b3-bc0c-ee515a0b28ac.jpg?v=1678849672,shoes
HEWDA1-8442,Cannes Magenta Leather Sandals,8435702505287,42,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/E-COM-5-724_1ecc5b3c-f3fa-44b3-bc0c-ee515a0b28ac.jpg?v=1678849672,shoes
BTWED1-7335,South Bicolor Lilac,8435476138322,35,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-lilac-boots-alohas-869352.jpg?v=1676506886,shoes
BTWED1-7336,South Bicolor Lilac,8435476138339,36,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-lilac-boots-alohas-869352.jpg?v=1676506886,shoes
BTWED1-7337,South Bicolor Lilac,8435476138346,37,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-lilac-boots-alohas-869352.jpg?v=1676506886,shoes
